MC,ArrClk 0,DepClk 0,HPQ 0,LPQ 0,ArrClk 1,DepClk 1,HPQ 1,LPQ 1,Token holder,TimeOutClk
0.0,4.536453317306353,-1.0,0.0,0.0,1.6090273843529452,-1.0,0.0,0.0,-1,false
1.0,4.536453317306353,-1.0,0.0,0.0,1.6090273843529452,-1.0,0.0,0.0,-1,false
1.6090273843529452,4.536453317306353,-1.0,0.0,0.0,9.609027384352945,-1.0,1.0,0.0,-1,false
2.0,4.536453317306353,-1.0,0.0,0.0,9.609027384352945,-1.0,1.0,0.0,-1,false
3.0,4.536453317306353,-1.0,0.0,0.0,9.609027384352945,9.0,1.0,0.0,1,false
4.536453317306353,12.536453317306353,-1.0,1.0,0.0,9.609027384352945,9.0,1.0,0.0,1,false
9.0,12.536453317306353,-1.0,1.0,0.0,9.609027384352945,-1.0,0.0,0.0,-1,false
9.609027384352945,12.536453317306353,-1.0,1.0,0.0,17.609027384352945,-1.0,0.0,1.0,-1,false
10.0,12.536453317306353,16.0,1.0,0.0,17.609027384352945,-1.0,0.0,1.0,0,false
12.536453317306353,20.536453317306353,16.0,1.0,1.0,17.609027384352945,-1.0,0.0,1.0,0,false
16.0,20.536453317306353,22.0,0.0,1.0,17.609027384352945,-1.0,0.0,1.0,0,false
17.609027384352945,20.536453317306353,22.0,0.0,1.0,25.609027384352945,-1.0,1.0,1.0,0,false
20.536453317306353,28.536453317306353,22.0,1.0,1.0,25.609027384352945,-1.0,1.0,1.0,0,false
22.0,28.536453317306353,28.0,0.0,1.0,25.609027384352945,-1.0,1.0,1.0,0,false
25.0,28.536453317306353,28.0,0.0,1.0,25.609027384352945,-1.0,1.0,1.0,0,true
25.609027384352945,28.536453317306353,28.0,0.0,1.0,33.60902738435294,-1.0,1.0,2.0,0,true
28.0,28.536453317306353,-1.0,0.0,0.0,33.60902738435294,-1.0,1.0,2.0,-1,false
28.536453317306353,36.53645331730635,-1.0,0.0,1.0,33.60902738435294,-1.0,1.0,2.0,-1,false
29.0,36.53645331730635,-1.0,0.0,1.0,33.60902738435294,35.0,1.0,2.0,1,false
33.60902738435294,36.53645331730635,-1.0,0.0,1.0,41.60902738435294,35.0,2.0,2.0,1,false
